GROUPING,TYPE,STATE,Premium,Losses,Quotes,Sales,Premium2,Losses2,Quotes2,Sales2,Premium3
32003,ZIP,FL,160449,104292,37456,4607,109105,89691,40827,4423,112378
32004,ZIP,FL,498588,209407,44553,1337,373941,209407,40989,936,291674
32006,ZIP,FL,320521,205133,109507,9965,217954,201030,66799,10762,115516
32007,ZIP,FL,361212,346764,119137,17275,245624,298217,67908,13302,169481
32008,ZIP,FL,515111,540867,186198,12289,561471,421876,143372,13149,376186
32009,ZIP,FL,376051,150420,21521,990,297080,102286,14634,554,190131
32011,ZIP,FL,827974,670659,13119,748,471945,335330,13644,591,339800
32013,ZIP,FL,690072,531355,122742,10556,538256,430398,103103,8445,522108
32024,ZIP,FL,981234,1040108,167605,24470,569116,1133718,155873,26183,557734
32025,ZIP,FL,139762,60098,159528,16112,104822,54088,153147,11923,113208
32026,ZIP,FL,560235,431381,141303,7206,436983,414126,139890,5260,423874
32030,ZIP,FL,35764,33618,116326,16053,20028,29920,62816,9792,20429
32033,ZIP,FL,580251,226298,31483,2676,539633,149357,18890,2756,296798
32034,ZIP,FL,289227,159075,111985,3472,185105,108171,62712,1875,94404
32035,ZIP,FL,176083,103889,126155,6182,184887,88306,65601,5997,155305
32038,ZIP,FL,678962,685752,176568,7063,746858,685752,176568,6357,418240
32040,ZIP,FL,906234,770299,137531,9902,779361,631645,123778,7228,576727
32041,ZIP,FL,7466,7839,29175,2480,4629,5644,28883,1562,3611
32042,ZIP,FL,266926,248241,112397,14724,146809,188663,71934,10896,155618
32043,ZIP,FL,95978,64305,116337,7446,68144,41798,103540,6031,42249
32044,ZIP,FL,145977,157655,34061,954,150356,93016,35764,591,75178
32046,ZIP,FL,198169,166462,38647,4174,172407,106536,42512,3965,120685
32050,ZIP,FL,559497,609852,133975,7235,436408,542768,85744,7018,436408
32052,ZIP,FL,358,394,173408,16994,200,410,131790,12236,164
32053,ZIP,FL,9033,6323,11977,1294,7046,5438,7066,1385,5566
32054,ZIP,FL,196001,111721,133275,7597,125441,70384,98624,8053,90318
32055,ZIP,FL,205988,92695,35150,3691,148311,65813,36205,3027,155727
32056,ZIP,FL,10394,9043,68964,4000,6132,5516,58619,2880,6439
32058,ZIP,FL,238282,169180,181367,11063,140586,160721,157789,9846,113875
32059,ZIP,FL,370770,363355,158178,14078,322570,207112,140778,8165,190316
32060,ZIP,FL,274831,153905,7349,845,252845,127741,4483,921,227561
32061,ZIP,FL,654916,307811,169001,23829,327458,307811,92951,15727,297987
32062,ZIP,FL,931556,857032,187624,20826,763876,685626,155728,14162,473603
32063,ZIP,FL,707401,664957,49096,7168,657883,379025,33385,5448,532885
32064,ZIP,FL,44393,42617,174647,6811,35514,44748,179886,5449,19533
32065,ZIP,FL,647852,641373,101498,11469,537717,365583,80183,7684,295744
32066,ZIP,FL,73663,75136,189758,6831,42725,42828,201143,6353,23926
32067,ZIP,FL,245249,166769,65173,1825,247701,88388,34542,1935,255132
32068,ZIP,FL,882325,917618,78584,6444,820562,605628,39292,5284,516954
32071,ZIP,FL,560929,471180,199679,5591,342167,424062,213657,3746,201879
32072,ZIP,FL,426266,289861,20625,2784,289861,176815,21450,2060,315948
32073,ZIP,FL,74761,46352,53135,6270,60556,50524,31350,6207,42389
32079,ZIP,FL,423675,351650,63518,8321,296573,221540,50179,5076,180910
32080,ZIP,FL,599537,533588,177963,17618,509606,352168,149489,13742,529990
32081,ZIP,FL,245511,193954,185752,14117,184133,195894,176464,12846,184133
32082,ZIP,FL,105097,86180,4241,428,80925,81009,4495,389,77688
32083,ZIP,FL,988666,840366,80286,5941,593200,890788,78680,6119,551676
32084,ZIP,FL,193382,94757,126242,13382,206919,72015,137604,11776,204850
32085,ZIP,FL,624393,330928,97111,14470,580685,271361,104880,11721,429707
32086,ZIP,FL,170025,170025,69435,7221,136020,173426,50688,5416,100655
32087,ZIP,FL,54102,36248,11554,1271,54102,34436,8088,928,38953
32091,ZIP,FL,401864,321491,64344,4633,257193,276482,38606,2409,174891
32092,ZIP,FL,320184,163294,15046,812,300973,148598,13090,763,276895
32094,ZIP,FL,932008,745606,90675,11697,876088,529380,56219,6667,446805
